service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
6d88e3d1-dd09-4533-91a5-08aae38489bd,1,1,1,1,1,1,1,20151113,20161231
9a13c23c-c093-4542-b796-c0f03446ad70,1,1,1,1,1,1,1,20151113,20161231
97f6c046-4cc1-4aec-9b89-509c02870387,1,1,1,1,1,1,1,20151113,20161231
e0d4d9df-c63c-4108-83fc-715748a78295,1,1,1,1,1,1,1,20151113,20161231
4c53e995-8644-4cbe-b771-01539b8c4b7d,1,1,1,1,1,1,1,20151113,20161231
10abd034-2667-4874-90c3-0b330b559ddf,1,1,1,1,1,1,1,20151113,20161231
8572e75d-d36f-47e9-b492-fcdafb01f1db,1,1,1,1,1,1,1,20151113,20161231
1430b475-94dd-4e58-90a2-244376031c1e,1,1,1,1,1,1,1,20151113,20161231
6af57ff8-5294-43d1-b0b5-114de9783fb2,1,1,1,1,1,1,1,20151113,20161231
a72dcabd-f558-4ae2-9cd7-bec3bcdfe77a,1,1,1,1,1,1,1,20151113,20161231
7d549cc0-720f-467d-a59d-f5690705bd3d,1,1,1,1,1,1,1,20151113,20161231
b99b1108-1be1-4fe2-ad8b-aeb7e7573015,1,1,1,1,1,1,1,20151113,20161231
f836f9b2-a9c2-47e5-9f3e-3197cf10f308,1,1,1,1,1,1,1,20151113,20161231
be6c8e8c-9835-42ac-975c-f2d556d77a9f,1,1,1,1,1,1,1,20151113,20161231
73013dad-fb9b-446a-bbfd-1e1a542d28e2,1,1,1,1,1,1,1,20151113,20161231
aa38220f-c97a-493b-98c2-f1e449c044d4,1,1,1,1,1,1,1,20151113,20161231
7338b272-aca1-4a86-9cc1-29a22755abc4,1,1,1,1,1,1,1,20151113,20161231
8ba8e34a-cc72-447b-b4e4-81c528dbd0d7,1,1,1,1,1,1,1,20151113,20161231
eb432f64-b02f-43fd-8f99-031ee66c7a65,1,1,1,1,1,1,1,20151113,20161231
4d50b018-a94b-474a-8bde-636f816c795b,1,1,1,1,1,1,1,20151113,20161231
65087656-e52f-40ec-a7e1-a19dcc6f2e0d,1,1,1,1,1,1,1,20151113,20161231
33218e5c-75e0-492f-b70c-f46f37157b82,1,1,1,1,1,1,1,20151113,20161231
22a67e3b-7a15-499d-89b3-380676849f1c,1,1,1,1,1,1,1,20151113,20161231
0c48c0e4-5437-4bc3-add7-6ddc9534aeb5,1,1,1,1,1,1,1,20151113,20161231
01bd62bf-86be-493a-ae8d-4c7821898820,1,1,1,1,1,1,1,20151113,20161231
f995e4c1-55d1-40a6-9f7d-40a570f04623,1,1,1,1,1,1,1,20151113,20161231
f12acd1e-4db2-4eb0-b704-f4900d0d8911,1,1,1,1,1,1,1,20151113,20161231
895de7e1-facc-43c9-aca2-15c6d26665f9,1,1,1,1,1,1,1,20151113,20161231
2781c148-9c68-43d2-9785-6462e3f47ffb,1,1,1,1,1,1,1,20151113,20161231
10a0a5a8-932e-4408-a794-2df8540550a2,1,1,1,1,1,1,1,20151113,20161231
61e3a7ed-4137-4014-8fbe-89b468d0f07e,1,1,1,1,1,1,1,20151113,20161231
9ed1cf69-cb89-420f-8e9d-f495c0e35996,1,1,1,1,1,1,1,20151113,20161231
e9f7c5cc-7daf-4b20-81d9-0003e5e55596,1,1,1,1,1,1,1,20151113,20161231
aeaa085e-afde-4226-8724-ddcf86d86270,1,1,1,1,1,1,1,20151113,20161231
d5dc2d4d-6c80-4e16-bdcf-94329299e61b,1,1,1,1,1,1,1,20151113,20161231
4c0d14ce-6ee8-4d24-a96f-c2f3aa60d800,1,1,1,1,1,1,1,20151113,20161231
01461782-8a8a-4b26-99af-3de7f275894c,1,1,1,1,1,1,1,20151113,20161231
79670d96-91d1-4f33-b186-79ecdd1ed72c,1,1,1,1,1,1,1,20151113,20161231
27422252-0c05-4b59-88bc-eae7a0d21781,1,1,1,1,1,1,1,20151113,20161231
4b5c6a80-3cbc-4b9a-a4c7-c424f3f68a7d,1,1,1,1,1,1,1,20151113,20161231
a8cadb7f-21e5-47f7-aba0-8686264ef162,1,1,1,1,1,1,1,20151113,20161231
481ac906-aa3c-4535-b83d-9b2bf4162d27,1,1,1,1,1,1,1,20151113,20161231
caaa1e28-3d46-4597-b357-2b2d7304f8eb,1,1,1,1,1,1,1,20151113,20161231
3dc81260-9d0f-403a-8ed1-8456a2b290de,1,1,1,1,1,1,1,20151113,20161231
3cb5a2c5-5835-40d8-98ab-9a70e48d306f,1,1,1,1,1,1,1,20151113,20161231
cecd5c08-9100-48eb-a30e-13197625a98a,1,1,1,1,1,1,1,20151113,20161231
013fa16c-a0ff-496b-8ae9-276e419f0b8c,1,1,1,1,1,1,1,20151113,20161231
fcafd8df-751c-472f-b712-cd8460db9011,1,1,1,1,1,1,1,20151113,20161231
d3a5f3ad-29bf-4fb6-a42a-dc6c0f8338fd,1,1,1,1,1,1,1,20151113,20161231
4fe85984-9a1a-4c1b-9772-21fed57eb7fb,1,1,1,1,1,1,1,20151113,20161231
db237c5f-4738-4771-a1e7-a83aa9146d27,1,1,1,1,1,1,1,20151113,20161231
fcf33656-0d79-40d3-a100-d0ecfeeed64e,1,1,1,1,1,1,1,20151113,20161231
7fde25ca-5237-40ce-ac25-6f63eaf46713,1,1,1,1,1,1,1,20151113,20161231
df295c63-e4f5-4a6d-95e9-d2255201a904,1,1,1,1,1,1,1,20151113,20161231
82f1bcc0-51cc-4f8e-833c-17b764d7759e,1,1,1,1,1,1,1,20151113,20161231
