shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
05c90f47-22ec-4035-b810-2c5b2df713b7,51.5207100,4.0060600,4,8747.0200916
05c90f47-22ec-4035-b810-2c5b2df713b7,51.5207100,4.0060600,5,8747.0200916
05c90f47-22ec-4035-b810-2c5b2df713b7,51.5207100,4.0060600,6,8747.0200916
07b1d6a1-c793-4d04-a85c-0db4cfa385a2,51.9984900,6.0364300,1,0.0000000
07b1d6a1-c793-4d04-a85c-0db4cfa385a2,51.9984900,6.0364300,2,0.0000000
07b1d6a1-c793-4d04-a85c-0db4cfa385a2,51.9991100,6.0355300,3,92.6268855
07b1d6a1-c793-4d04-a85c-0db4cfa385a2,51.9991100,6.0355300,4,92.6268855
07f8aa1e-c087-4f4a-8803-05182464538e,52.4580700,5.1007600,1,0.0000000
07f8aa1e-c087-4f4a-8803-05182464538e,52.4938900,5.0761100,2,4323.5222577
07f8aa1e-c087-4f4a-8803-05182464538e,52.4938900,5.0761100,3,4323.5222577
084811a3-0616-4716-97d3-f783def8f48d,51.5765400,5.3790000,1,0.0000000
084811a3-0616-4716-97d3-f783def8f48d,51.5765500,5.3792300,2,15.9840121
084811a3-0616-4716-97d3-f783def8f48d,51.5765500,5.3792300,3,15.9847053
0897bbad-e140-4596-ae66-6a500bba442e,51.9366700,4.6308300,1,0.0000000
0897bbad-e140-4596-ae66-6a500bba442e,51.9357700,4.6328900,2,173.4949325
0897bbad-e140-4596-ae66-6a500bba442e,51.9357700,4.6328900,3,173.4956203
08a9af01-c62c-46ef-bde8-ffdeaab9d8b1,52.4145900,5.7451400,1,0.0000000
08a9af01-c62c-46ef-bde8-ffdeaab9d8b1,52.4145900,5.7451400,2,0.0000000
08a9af01-c62c-46ef-bde8-ffdeaab9d8b1,52.4145900,5.7451400,3,0.0000000
08a9af01-c62c-46ef-bde8-ffdeaab9d8b1,52.4133100,5.7446500,4,146.2824929
08a9af01-c62c-46ef-bde8-ffdeaab9d8b1,52.4120000,5.7383000,5,602.2931055
08a9af01-c62c-46ef-bde8-ffdeaab9d8b1,52.3969400,5.7355600,6,2288.4383045
